gene_ids,uniprot_id,uniprot_genes
XLOC-012865#NSF-HUMAN#P46459,P46459,NSF
XLOC-012356#COX18-PONAB#Q5R7D0,Q5R7D0,COX18
gene-evm.model.ptg000001l.16#DPH2-DANRE#A4QN59,A4QN59,dph2
XLOC-012357#DPH2-DANRE#A4QN59,A4QN59,dph2
XLOC-012867#MLP3A-BOVIN#Q2HJ23,Q2HJ23,MAP1LC3A
XLOC-012868#XLOC-012868,XLOC-012868#XLOC-012868,XLOC-012868#XLOC-012868
gene-evm.model.ptg000001l.13#gene-evm.model.ptg000001l.13,gene-evm.model.ptg000001l.13#gene-evm.model.ptg000001l.13,gene-evm.model.ptg000001l.13#gene-evm.model.ptg000001l.13
gene-evm.model.ptg000001l.1#RUFY2-HUMAN#Q8WXA3,Q8WXA3,RUFY2
XLOC-012358#XLOC-012358,XLOC-012358#XLOC-012358,XLOC-012358#XLOC-012358
XLOC-012365#STK31-MOUSE#Q99MW1,Q99MW1,Stk31
novel-gene-chr19-9123#novel-gene-chr19-9123,novel-gene-chr19-9123#novel-gene-chr19-9123,novel-gene-chr19-9123#novel-gene-chr19-9123
XLOC-012873#BMR1B-HUMAN#O00238,O00238,BMPR1B
XLOC-012362#XLOC-012362,XLOC-012362#XLOC-012362,XLOC-012362#XLOC-012362
XLOC-012869#MYG1-BOVIN#Q58DG1,Q58DG1,MYG1
XLOC-012363#XLOC-012363,XLOC-012363#XLOC-012363,XLOC-012363#XLOC-012363
XLOC-012870#XLOC-012870,XLOC-012870#XLOC-012870,XLOC-012870#XLOC-012870
XLOC-012364#GTPB6-XENLA#Q6DCC6,Q6DCC6,gtpbp6
XLOC-012872#XLOC-012872,XLOC-012872#XLOC-012872,XLOC-012872#XLOC-012872
XLOC-012366#BAT1-HUMAN#P82251,P82251,SLC7A9
XLOC-012367#RUFY2-MOUSE#Q8R4C2,Q8R4C2,Rufy2
XLOC-013659#MSI1H-CAEEL#G5EFS2,G5EFS2,msi-1
XLOC-012874#CPEB1-PONAB#Q5R733,Q5R733,CPEB1
XLOC-012881#ARPC2-BOVIN#Q3MHR7,Q3MHR7,ARPC2
XLOC-013660#XLOC-013660,XLOC-013660#XLOC-013660,XLOC-013660#XLOC-013660
XLOC-013662#XLOC-013662,XLOC-013662#XLOC-013662,XLOC-013662#XLOC-013662
XLOC-012878#XLOC-012878,XLOC-012878#XLOC-012878,XLOC-012878#XLOC-012878
XLOC-013661#SNPC1-HUMAN#Q16533,Q16533,SNAPC1
gene-evm.model.ptg000010l.1503-1,gene-evm.model.ptg000010l.1503-1,gene-evm.model.ptg000010l.1503-1
XLOC-013663#LOX5-MESAU#P51399,P51399,ALOX5
XLOC-012875#XLOC-012875,XLOC-012875#XLOC-012875,XLOC-012875#XLOC-012875
XLOC-013664#BLML4-DICDI#Q54SB5,Q54SB5,DDB_G0282557
XLOC-012876#XLOC-012876,XLOC-012876#XLOC-012876,XLOC-012876#XLOC-012876
gene-evm.model.ptg000010l.1482#RHEB-HUMAN#Q15382,Q15382,RHEB
XLOC-012895#LEO1-RAT#Q641X2,Q641X2,Leo1
XLOC-012882#TOM7-MOUSE#Q9D173,Q9D173,Tomm7
XLOC-012877#T106C-RAT#Q5RJK0,Q5RJK0,Tmem106c
XLOC-013670#COSA-NEMVE#A7RHL5,A7RHL5,v1g158749
XLOC-012879#POL3-DROME#P04323,P04323,pol
gene-evm.model.ptg000010l.1492-1#OFD1-MOUSE#Q80Z25,Q80Z25,Ofd1
gene-evm.model.ptg000010l.1460#gene-evm.model.ptg000010l.1460,gene-evm.model.ptg000010l.1460#gene-evm.model.ptg000010l.1460,gene-evm.model.ptg000010l.1460#gene-evm.model.ptg000010l.1460
XLOC-013669#XLOC-013669,XLOC-013669#XLOC-013669,XLOC-013669#XLOC-013669
XLOC-012886#XLOC-012886,XLOC-012886#XLOC-012886,XLOC-012886#XLOC-012886
gene-evm.model.ptg000010l.1489#gene-evm.model.ptg000010l.1489,gene-evm.model.ptg000010l.1489#gene-evm.model.ptg000010l.1489,gene-evm.model.ptg000010l.1489#gene-evm.model.ptg000010l.1489
XLOC-012883#EXOS7-MOUSE#Q9D0M0,Q9D0M0,Exosc7
XLOC-012884#XLOC-012884,XLOC-012884#XLOC-012884,XLOC-012884#XLOC-012884
XLOC-013680#CNDG2-HUMAN#Q86XI2,Q86XI2,NCAPG2
XLOC-013666#RX2-ORYLA#Q9I9A2,Q9I9A2,rx2
XLOC-013667#CB076-HUMAN#Q3KRA6,Q3KRA6,C2orf76
XLOC-012887#XLOC-012887,XLOC-012887#XLOC-012887,XLOC-012887#XLOC-012887
XLOC-013668#TMUB1-DANRE#Q6P135,Q6P135,tmub1
XLOC-013671#PGBM-HUMAN#P98160,P98160,HSPG2
XLOC-012889#GR-BACSU#O32210,O32210,yvgN
gene-evm.model.ptg000010l.1479-1#CYAC3-MOUSE#Q6P1H1,Q6P1H1,Cyb561a3
XLOC-013673#XLOC-013673,XLOC-013673#XLOC-013673,XLOC-013673#XLOC-013673
XLOC-012890#XLOC-012890,XLOC-012890#XLOC-012890,XLOC-012890#XLOC-012890
XLOC-013674#5HT2B-HUMAN#P41595,P41595,HTR2B
XLOC-013682#HMA2-ORYSJ#A3BF39,A3BF39,HMA2
XLOC-012896#DNPEP-BOVIN#Q2HJH1,Q2HJH1,DNPEP
XLOC-013675#XLOC-013675,XLOC-013675#XLOC-013675,XLOC-013675#XLOC-013675
gene-evm.model.ptg000010l.1475-1#CISY1-AEDAE#Q17GM7,Q17GM7,AAEL002956
XLOC-013685#MTRR-HUMAN#Q9UBK8,Q9UBK8,MTRR
XLOC-013683#UTP20-HUMAN#O75691,O75691,UTP20
XLOC-013681#XLOC-013681,XLOC-013681#XLOC-013681,XLOC-013681#XLOC-013681
XLOC-013677#FBCD1-XENTR#Q0P4P2,Q0P4P2,fibcd1
XLOC-013678#OPN4B-XENLA#O57422,O57422,opn4b
XLOC-012892#GPDA-PONAB#Q5RCE0,Q5RCE0,GPD1
XLOC-012891#MOCOS-HUMAN#Q96EN8,Q96EN8,MOCOS
XLOC-012900#PARD3-HUMAN#Q8TEW0,Q8TEW0,PARD3
XLOC-012899#XLOC-012899,XLOC-012899#XLOC-012899,XLOC-012899#XLOC-012899
XLOC-012893#LMBRL-MACFA#Q4R7X9,Q4R7X9,LMBR1L
XLOC-012894#XLOC-012894,XLOC-012894#XLOC-012894,XLOC-012894#XLOC-012894
XLOC-013679#XLOC-013679,XLOC-013679#XLOC-013679,XLOC-013679#XLOC-013679
XLOC-012904#TRRAP-HUMAN#Q9Y4A5,Q9Y4A5,TRRAP
XLOC-012897#XLOC-012897,XLOC-012897#XLOC-012897,XLOC-012897#XLOC-012897
gene-evm.model.ptg000010l.1453#PARD3-HUMAN#Q8TEW0,Q8TEW0,PARD3
XLOC-013684#VRP1-YEAST#P37370,P37370,VRP1
XLOC-013687#SENP1-MOUSE#P59110,P59110,Senp1
XLOC-013688#AT5G2-PONAB#Q5RAP9,Q5RAP9,ATP5MC2
gene-evm.model.ptg000010l.1452#gene-evm.model.ptg000010l.1452,gene-evm.model.ptg000010l.1452#gene-evm.model.ptg000010l.1452,gene-evm.model.ptg000010l.1452#gene-evm.model.ptg000010l.1452
XLOC-012901#XLOC-012901,XLOC-012901#XLOC-012901,XLOC-012901#XLOC-012901
gene-evm.model.ptg000010l.1448#gene-evm.model.ptg000010l.1448,gene-evm.model.ptg000010l.1448#gene-evm.model.ptg000010l.1448,gene-evm.model.ptg000010l.1448#gene-evm.model.ptg000010l.1448
XLOC-012908#XLOC-012908,XLOC-012908#XLOC-012908,XLOC-012908#XLOC-012908
XLOC-013690#XLOC-013690,XLOC-013690#XLOC-013690,XLOC-013690#XLOC-013690
gene-evm.model.ptg000010l.1451#RM32-SCHPO#O94379,O94379,mrpl32
XLOC-012902#CCD12-HUMAN#Q8WUD4,Q8WUD4,CCDC12
XLOC-012903#XLOC-012903,XLOC-012903#XLOC-012903,XLOC-012903#XLOC-012903
XLOC-013691#XLOC-013691,XLOC-013691#XLOC-013691,XLOC-013691#XLOC-013691
XLOC-012907#LOX2-ORYSJ#P29250,P29250,LOX1.1
XLOC-012927#XLOC-012927,XLOC-012927#XLOC-012927,XLOC-012927#XLOC-012927
gene-evm.model.ptg000010l.1438#CUBN-PIG#F1RWC3,F1RWC3,CUBN
gene-evm.model.ptg000010l.1445,gene-evm.model.ptg000010l.1445,gene-evm.model.ptg000010l.1445
XLOC-012915#GBRB2-BOVIN#P0C2W5,P0C2W5,GABRB2
XLOC-012914#XLOC-012914,XLOC-012914#XLOC-012914,XLOC-012914#XLOC-012914
XLOC-012909#MARH6-MOUSE#Q6ZQ89,Q6ZQ89,Marchf6
XLOC-012910#INSI1-XENLA#Q6DF80,Q6DF80,insig1
XLOC-012917#Y1101-SYNY3#P72745,P72745,slr1101
XLOC-012919#XLOC-012919,XLOC-012919#XLOC-012919,XLOC-012919#XLOC-012919
XLOC-012920#LRRF2-XENTR#B2GUE2,B2GUE2,lrrfip2
XLOC-012921#SF3B1-HUMAN#O75533,O75533,SF3B1
XLOC-012912#XLOC-012912,XLOC-012912#XLOC-012912,XLOC-012912#XLOC-012912
XLOC-012926#XLOC-012926,XLOC-012926#XLOC-012926,XLOC-012926#XLOC-012926
XLOC-012913#PRS23-BOVIN#Q1LZE9,Q1LZE9,PRSS23
gene-evm.model.ptg000010l.1427#EPC1-HUMAN#Q9H2F5,Q9H2F5,EPC1
XLOC-012916#S6A12-HUMAN#P48065,P48065,SLC6A12
gene-evm.model.ptg000010l.1431,gene-evm.model.ptg000010l.1431,gene-evm.model.ptg000010l.1431
gene-evm.model.ptg000010l.1429#LRRF2-XENTR#B2GUE2,B2GUE2,lrrfip2
XLOC-013702#CO2A1-CHICK#P02460,P02460,COL2A1
XLOC-012922#EPC1-HUMAN#Q9H2F5,Q9H2F5,EPC1
XLOC-012929#XLOC-012929,XLOC-012929#XLOC-012929,XLOC-012929#XLOC-012929
XLOC-013694#ECHM-DICDI#Q1ZXF1,Q1ZXF1,echs1
XLOC-012923#ELP2-HUMAN#Q6IA86,Q6IA86,ELP2
XLOC-013695#PS11A-DANRE#F6P3G4,F6P3G4,psmd11a
XLOC-012924#GBRB-MUSDO#Q75NA5,Q75NA5,Rdl
gene-evm.model.ptg000010l.1423#GBRB2-RAT#P63138,P63138,Gabrb2
XLOC-012925#GBRB2-RAT#P63138,P63138,Gabrb2
gene-evm.model.ptg000010l.1422-1,gene-evm.model.ptg000010l.1422-1,gene-evm.model.ptg000010l.1422-1
XLOC-012933#ASNS-CHICK#Q5ZJU3,Q5ZJU3,ASNS
XLOC-012928#TRM61-RAT#Q6AY46,Q6AY46,Trmt61a
XLOC-012947#PI42B-RAT#O88377,O88377,Pip4k2b
gene-evm.model.ptg000010l.1417#METE-BACP2#A8FCD2,A8FCD2,metE
XLOC-013700#ORC4-XENLA#O93479,O93479,orc4
XLOC-013698#XLOC-013698,XLOC-013698#XLOC-013698,XLOC-013698#XLOC-013698
XLOC-013699#CD5R1-BOVIN#Q28199,Q28199,CDK5R1
XLOC-012934#XLOC-012934,XLOC-012934#XLOC-012934,XLOC-012934#XLOC-012934
XLOC-012935#CDK2-CARAU#P43450,P43450,cdk2
XLOC-013701#CO3A1-MOUSE#P08121,P08121,Col3a1
gene-evm.model.ptg000010l.1391#JAZF1-HUMAN#Q86VZ6,Q86VZ6,JAZF1
XLOC-012942#XLOC-012942,XLOC-012942#XLOC-012942,XLOC-012942#XLOC-012942
XLOC-012936#SEM5B-MOUSE#Q60519,Q60519,Sema5b
XLOC-012943#DCTN2-XENTR#Q5FW42,Q5FW42,dctn2
XLOC-012959#XLOC-012959,XLOC-012959#XLOC-012959,XLOC-012959#XLOC-012959
XLOC-012944#TRIM2-HUMAN#Q9C040,Q9C040,TRIM2
XLOC-013703#XLOC-013703,XLOC-013703#XLOC-013703,XLOC-013703#XLOC-013703
XLOC-012946#XLOC-012946,XLOC-012946#XLOC-012946,XLOC-012946#XLOC-012946
XLOC-012937#DCLK1-RAT#O08875,O08875,Dclk1
gene-evm.model.ptg000010l.1402#gene-evm.model.ptg000010l.1402,gene-evm.model.ptg000010l.1402#gene-evm.model.ptg000010l.1402,gene-evm.model.ptg000010l.1402#gene-evm.model.ptg000010l.1402
gene-evm.model.ptg000010l.1401,gene-evm.model.ptg000010l.1401,gene-evm.model.ptg000010l.1401
XLOC-013704#ARSJ-HUMAN#Q5FYB0,Q5FYB0,ARSJ
XLOC-012940#LFG1-BOVIN#Q32L53,Q32L53,GRINA
XLOC-012941#PRS23-BOVIN#Q1LZE9,Q1LZE9,PRSS23
gene-evm.model.ptg000010l.1378#S38AB-DANRE#A8KBL5,A8KBL5,slc38a11
XLOC-013705#XLOC-013705,XLOC-013705#XLOC-013705,XLOC-013705#XLOC-013705
XLOC-013706#XLOC-013706,XLOC-013706#XLOC-013706,XLOC-013706#XLOC-013706
XLOC-012948#XLOC-012948,XLOC-012948#XLOC-012948,XLOC-012948#XLOC-012948
XLOC-012960#XLOC-012960,XLOC-012960#XLOC-012960,XLOC-012960#XLOC-012960
XLOC-012950#DLGP1-DANRE#Q7ZYZ6,Q7ZYZ6,dlgap1
XLOC-013707#POLI-HUMAN#Q9UNA4,Q9UNA4,POLI
XLOC-013713#ANR28-HUMAN#O15084,O15084,ANKRD28
XLOC-013723#XLOC-013723,XLOC-013723#XLOC-013723,XLOC-013723#XLOC-013723
XLOC-013717#XLOC-013717,XLOC-013717#XLOC-013717,XLOC-013717#XLOC-013717
XLOC-013727#XLOC-013727,XLOC-013727#XLOC-013727,XLOC-013727#XLOC-013727
gene-evm.model.ptg000010l.1384#OFUT2-HUMAN#Q9Y2G5,Q9Y2G5,POFUT2
gene-evm.model.ptg000010l.1371#gene-evm.model.ptg000010l.1371,gene-evm.model.ptg000010l.1371#gene-evm.model.ptg000010l.1371,gene-evm.model.ptg000010l.1371#gene-evm.model.ptg000010l.1371
XLOC-012949#XLOC-012949,XLOC-012949#XLOC-012949,XLOC-012949#XLOC-012949
XLOC-013708#XLOC-013708,XLOC-013708#XLOC-013708,XLOC-013708#XLOC-013708
XLOC-012951#KAL1L-HUMAN#A0AUZ9,A0AUZ9,KANSL1L
XLOC-013710#MARH1-MOUSE#Q6NZQ8,Q6NZQ8,Marchf1
gene-evm.model.ptg000010l.1353#gene-evm.model.ptg000010l.1353,gene-evm.model.ptg000010l.1353#gene-evm.model.ptg000010l.1353,gene-evm.model.ptg000010l.1353#gene-evm.model.ptg000010l.1353
XLOC-012975#FXL20-RAT#Q9QZH7,Q9QZH7,Fbxl20
XLOC-013711#RIF1-CHICK#E1C2U2,E1C2U2,RIF1
XLOC-013712#PNPO-BOMMO#Q1PCB0,Q1PCB0,PNPO
XLOC-013720#XLOC-013720,XLOC-013720#XLOC-013720,XLOC-013720#XLOC-013720
XLOC-013714#SNF8-HUMAN#Q96H20,Q96H20,SNF8
XLOC-013724#XLOC-013724,XLOC-013724#XLOC-013724,XLOC-013724#XLOC-013724
gene-evm.model.ptg000010l.1359#gene-evm.model.ptg000010l.1359,gene-evm.model.ptg000010l.1359#gene-evm.model.ptg000010l.1359,gene-evm.model.ptg000010l.1359#gene-evm.model.ptg000010l.1359
XLOC-013726#XLOC-013726,XLOC-013726#XLOC-013726,XLOC-013726#XLOC-013726
XLOC-013725#XLOC-013725,XLOC-013725#XLOC-013725,XLOC-013725#XLOC-013725
gene-evm.model.ptg000010l.1362#gene-evm.model.ptg000010l.1362,gene-evm.model.ptg000010l.1362#gene-evm.model.ptg000010l.1362,gene-evm.model.ptg000010l.1362#gene-evm.model.ptg000010l.1362
gene-evm.model.ptg000010l.1367#gene-evm.model.ptg000010l.1367,gene-evm.model.ptg000010l.1367#gene-evm.model.ptg000010l.1367,gene-evm.model.ptg000010l.1367#gene-evm.model.ptg000010l.1367
XLOC-012955#XLOC-012955,XLOC-012955#XLOC-012955,XLOC-012955#XLOC-012955
XLOC-012956#XLOC-012956,XLOC-012956#XLOC-012956,XLOC-012956#XLOC-012956
XLOC-012963#XLOC-012963,XLOC-012963#XLOC-012963,XLOC-012963#XLOC-012963
XLOC-012957#XLOC-012957,XLOC-012957#XLOC-012957,XLOC-012957#XLOC-012957
gene-evm.model.ptg000010l.1370-1,gene-evm.model.ptg000010l.1370-1,gene-evm.model.ptg000010l.1370-1
XLOC-013718#XLOC-013718,XLOC-013718#XLOC-013718,XLOC-013718#XLOC-013718
XLOC-013715#XLOC-013715,XLOC-013715#XLOC-013715,XLOC-013715#XLOC-013715
XLOC-012961#XLOC-012961,XLOC-012961#XLOC-012961,XLOC-012961#XLOC-012961
XLOC-012962#DKK1-MOUSE#O54908,O54908,Dkk1
XLOC-012969#KCA10-HUMAN#Q16322,Q16322,KCNA10
XLOC-012967#XLOC-012967,XLOC-012967#XLOC-012967,XLOC-012967#XLOC-012967
XLOC-013731#NMP1A-XENLA#B9X187,B9X187,nemp1a
gene-evm.model.ptg000010l.1328#GLT11-HUMAN#Q8NCW6,Q8NCW6,GALNT11
XLOC-013734#HELQ-HUMAN#Q8TDG4,Q8TDG4,HELQ
XLOC-013721#XLOC-013721,XLOC-013721#XLOC-013721,XLOC-013721#XLOC-013721
gene-evm.model.ptg000010l.1359-1,gene-evm.model.ptg000010l.1359-1,gene-evm.model.ptg000010l.1359-1
XLOC-013742#AF10-HUMAN#P55197,P55197,MLLT10
XLOC-013744#CAD96-DROME#Q9VBW3,Q9VBW3,Cad96Ca
XLOC-012966#XLOC-012966,XLOC-012966#XLOC-012966,XLOC-012966#XLOC-012966
XLOC-012970#XLOC-012970,XLOC-012970#XLOC-012970,XLOC-012970#XLOC-012970
gene-evm.model.ptg000010l.1355#gene-evm.model.ptg000010l.1355,gene-evm.model.ptg000010l.1355#gene-evm.model.ptg000010l.1355,gene-evm.model.ptg000010l.1355#gene-evm.model.ptg000010l.1355
XLOC-013729#XLOC-013729,XLOC-013729#XLOC-013729,XLOC-013729#XLOC-013729
XLOC-013740#MFSD6-MOUSE#Q8CBH5,Q8CBH5,Mfsd6
XLOC-012979#ATPB-HEMPU#Q25117,Q25117,XLOC-012979#ATPB-HEMPU#Q25117
gene-evm.model.ptg000010l.1353-1,gene-evm.model.ptg000010l.1353-1,gene-evm.model.ptg000010l.1353-1
XLOC-012965#XLOC-012965,XLOC-012965#XLOC-012965,XLOC-012965#XLOC-012965
XLOC-013732#CDK12-XENTR#B5DE93,B5DE93,cdk12
novel-gene-chr2-3533#novel-gene-chr2-3533,novel-gene-chr2-3533#novel-gene-chr2-3533,novel-gene-chr2-3533#novel-gene-chr2-3533
XLOC-013736#GOGA4-HUMAN#Q13439,Q13439,GOLGA4
XLOC-012971#XLOC-012971,XLOC-012971#XLOC-012971,XLOC-012971#XLOC-012971
XLOC-012972#SCAP-XENLA#A0JPH4,A0JPH4,scap
XLOC-012973#SPMA1-HUMAN#A8MV24,A8MV24,SPMAP1
XLOC-012974#GLI1-CHICK#P55878,P55878,GLI1
novel-gene-chr2-3541#KAPR-STRPU#Q26619,Q26619,novel-gene-chr2-3541#KAPR-STRPU#Q26619
XLOC-012985#METL6-PONAB#Q5RDV8,Q5RDV8,METTL6
XLOC-013737#MFSD6-MOUSE#Q8CBH5,Q8CBH5,Mfsd6
XLOC-013738#MFSD6-MOUSE#Q8CBH5,Q8CBH5,Mfsd6
XLOC-013741#IPP-HUMAN#Q9Y573,Q9Y573,IPP
XLOC-012976#RBM45-HUMAN#Q8IUH3,Q8IUH3,RBM45
XLOC-012977#IVD-CAEEL#P34275,P34275,acdh-6
gene-evm.model.ptg000010l.1329#AAKG1-HUMAN#P54619,P54619,PRKAG1
XLOC-012982#RSU1-HUMAN#Q15404,Q15404,RSU1
XLOC-013746#TFP11-HUMAN#Q9UBB9,Q9UBB9,TFIP11
XLOC-013760#SNXAB-DANRE#A8WG21,A8WG21,snx10b
XLOC-013757#TYW4-HUMAN#O60294,O60294,LCMT2
XLOC-012984#MLRP1-ACRMI#B3EWZ5,B3EWZ5,XLOC-012984#MLRP1-ACRMI#B3EWZ5
XLOC-012980#XLOC-012980,XLOC-012980#XLOC-012980,XLOC-012980#XLOC-012980
XLOC-013745#XLOC-013745,XLOC-013745#XLOC-013745,XLOC-013745#XLOC-013745
XLOC-012981#ADRB2-ONCMY#Q8UUY8,Q8UUY8,adrb2
XLOC-013756#KCNH6-RAT#O54853,O54853,Kcnh6
gene-evm.model.ptg000010l.1321,gene-evm.model.ptg000010l.1321,gene-evm.model.ptg000010l.1321
XLOC-013748#KCNB2-MOUSE#A6H8H5,A6H8H5,Kcnb2
XLOC-013749#KCNQ4-HUMAN#P56696,P56696,KCNQ4
XLOC-012983#KAT2A-HUMAN#Q92830,Q92830,KAT2A
XLOC-013750#FLVC1-HUMAN#Q9Y5Y0,Q9Y5Y0,FLVCR1
XLOC-013751#CF410-MOUSE#Q8C6G1,Q8C6G1,Cfap410
XLOC-012986#CHSS3-MOUSE#Q5DTK1,Q5DTK1,Chsy3
XLOC-012987#XLOC-012987,XLOC-012987#XLOC-012987,XLOC-012987#XLOC-012987
XLOC-013754#KCNH6-CHICK#Q9PT84,Q9PT84,KCNH6
XLOC-013755#XLOC-013755,XLOC-013755#XLOC-013755,XLOC-013755#XLOC-013755
gene-evm.model.ptg000010l.1306,gene-evm.model.ptg000010l.1306,gene-evm.model.ptg000010l.1306
XLOC-013761#ZCPW2-HUMAN#Q504Y3,Q504Y3,ZCWPW2
XLOC-012990#CATIP-DANRE#Q08CH6,Q08CH6,catip
XLOC-012989#ITA9-HUMAN#Q13797,Q13797,ITGA9
gene-evm.model.ptg000010l.1303,gene-evm.model.ptg000010l.1303,gene-evm.model.ptg000010l.1303
XLOC-013759#SNX3-BOVIN#Q1RMH8,Q1RMH8,SNX3
gene-evm.model.ptg000010l.1290#CFA69-HUMAN#A5D8W1,A5D8W1,CFAP69
XLOC-012998#XLOC-012998,XLOC-012998#XLOC-012998,XLOC-012998#XLOC-012998
XLOC-013762#XLOC-013762,XLOC-013762#XLOC-013762,XLOC-013762#XLOC-013762
XLOC-013770#CF337-HUMAN#Q8IV35,Q8IV35,CFAP337
XLOC-013006#LAT3-MOUSE#Q8BSM7,Q8BSM7,Slc43a1
XLOC-013763#XLOC-013763,XLOC-013763#XLOC-013763,XLOC-013763#XLOC-013763
XLOC-012997#CDK5-XENLA#P51166,P51166,cdk5
XLOC-012992#XLOC-012992,XLOC-012992#XLOC-012992,XLOC-012992#XLOC-012992
XLOC-013764#XLOC-013764,XLOC-013764#XLOC-013764,XLOC-013764#XLOC-013764
XLOC-013000#XLOC-013000,XLOC-013000#XLOC-013000,XLOC-013000#XLOC-013000
XLOC-013010#XLOC-013010,XLOC-013010#XLOC-013010,XLOC-013010#XLOC-013010
gene-evm.model.ptg000010l.1258#PLD3B-MACFA#Q4R5S9,Q4R5S9,PRELID3B
XLOC-012995#EVE-DROME#P06602,P06602,eve
gene-evm.model.ptg000010l.1272#gene-evm.model.ptg000010l.1272,gene-evm.model.ptg000010l.1272#gene-evm.model.ptg000010l.1272,gene-evm.model.ptg000010l.1272#gene-evm.model.ptg000010l.1272
gene-evm.model.ptg000010l.1288,gene-evm.model.ptg000010l.1288,gene-evm.model.ptg000010l.1288
XLOC-012996#MFD6A-DANRE#Q1LUQ4,Q1LUQ4,mfsd6a
gene-evm.model.ptg000010l.1285,gene-evm.model.ptg000010l.1285,gene-evm.model.ptg000010l.1285
gene-evm.model.ptg000010l.1284#gene-evm.model.ptg000010l.1284,gene-evm.model.ptg000010l.1284#gene-evm.model.ptg000010l.1284,gene-evm.model.ptg000010l.1284#gene-evm.model.ptg000010l.1284
XLOC-012999#UPP-TOXGO#Q26998,Q26998,uprt
XLOC-013013#XLOC-013013,XLOC-013013#XLOC-013013,XLOC-013013#XLOC-013013
XLOC-013001#ARL5B-HUMAN#Q96KC2,Q96KC2,ARL5B
XLOC-013768#DPH7-HUMAN#Q9BTV6,Q9BTV6,DPH7
XLOC-013002#RLGM2-TRYBB#P86924,P86924,REL2
XLOC-013004#LAT3-HUMAN#O75387,O75387,SLC43A1
XLOC-013007#PK3CD-MOUSE#O35904,O35904,Pik3cd
XLOC-013776#PDC6I-XENLA#Q9W6C5,Q9W6C5,pdcd6ip
XLOC-013016#PHOCN-HUMAN#Q9Y3A3,Q9Y3A3,MOB4
XLOC-013778#SMRD1-HUMAN#Q96GM5,Q96GM5,SMARCD1
XLOC-013009#ST17A-RABIT#Q9GM70,Q9GM70,STK17A
XLOC-013011#XLOC-013011,XLOC-013011#XLOC-013011,XLOC-013011#XLOC-013011
gene-evm.model.ptg000010l.1267#TRM5-XENTR#F6VSS6,F6VSS6,trmt5
XLOC-013782#TMP2L-NEMVE#A7T1N0,A7T1N0,TRPM2
XLOC-013773#XLOC-013773,XLOC-013773#XLOC-013773,XLOC-013773#XLOC-013773
XLOC-013779#XLOC-013779,XLOC-013779#XLOC-013779,XLOC-013779#XLOC-013779
XLOC-013012#XLOC-013012,XLOC-013012#XLOC-013012,XLOC-013012#XLOC-013012
XLOC-013014#CG078-HUMAN#A0A1B0GVB3,A0A1B0GVB3,C7orf78
XLOC-013774#RTBS-DROME#Q95SX7,Q95SX7,RTase
XLOC-013775#GALDH-ARATH#O81884,O81884,LGALDH
XLOC-013777#XLOC-013777,XLOC-013777#XLOC-013777,XLOC-013777#XLOC-013777
gene-evm.model.ptg000010l.1258-1,gene-evm.model.ptg000010l.1258-1,gene-evm.model.ptg000010l.1258-1
XLOC-013780#COMD3-HUMAN#Q9UBI1,Q9UBI1,COMMD3
gene-evm.model.ptg000010l.1255-1,gene-evm.model.ptg000010l.1255-1,gene-evm.model.ptg000010l.1255-1
XLOC-013781#XLOC-013781,XLOC-013781#XLOC-013781,XLOC-013781#XLOC-013781
gene-evm.model.ptg000010l.1252#gene-evm.model.ptg000010l.1252,gene-evm.model.ptg000010l.1252#gene-evm.model.ptg000010l.1252,gene-evm.model.ptg000010l.1252#gene-evm.model.ptg000010l.1252
XLOC-013784#GULP1-DANRE#Q32PV0,Q32PV0,gulp1
XLOC-013018#KLH18-HUMAN#O94889,O94889,KLHL18
XLOC-013019#ATF2-CHICK#O93602,O93602,ATF2
XLOC-013020#UBR3-DANRE#F1QJX5,F1QJX5,ubr3
XLOC-013789#ATG9A-BOVIN#Q3T904,Q3T904,ATG9A
XLOC-013030#PCBP4-HUMAN#P57723,P57723,PCBP4
XLOC-013785#XLOC-013785,XLOC-013785#XLOC-013785,XLOC-013785#XLOC-013785
XLOC-013786#XLOC-013786,XLOC-013786#XLOC-013786,XLOC-013786#XLOC-013786
XLOC-013787#CLP1-BOVIN#A2VE01,A2VE01,CLP1
XLOC-013788#CUZD1-HUMAN#Q86UP6,Q86UP6,CUZD1
XLOC-013022#XLOC-013022,XLOC-013022#XLOC-013022,XLOC-013022#XLOC-013022
XLOC-013023#XLOC-013023,XLOC-013023#XLOC-013023,XLOC-013023#XLOC-013023
XLOC-013026#XLOC-013026,XLOC-013026#XLOC-013026,XLOC-013026#XLOC-013026
XLOC-013793#NPT2B-PONAB#Q5REV9,Q5REV9,SLC34A2
XLOC-013029#SMAL1-XENTR#Q0P4U8,Q0P4U8,smarcal1
gene-evm.model.ptg000010l.1229#SMAL1-XENTR#Q0P4U8,Q0P4U8,smarcal1
XLOC-013042#XLOC-013042,XLOC-013042#XLOC-013042,XLOC-013042#XLOC-013042
gene-evm.model.ptg000010l.1235-1,gene-evm.model.ptg000010l.1235-1,gene-evm.model.ptg000010l.1235-1
gene-evm.model.ptg000010l.1233#DDR1-MOUSE#Q03146,Q03146,Ddr1
gene-evm.model.ptg000010l.1232#DDR2-MOUSE#Q62371,Q62371,Ddr2
